id	filename	md5	size	state
ae5b4b33-a07a-4a5b-9b81-1d243b1b9af7	TCGA-73-4658-01Z-00-DX1.d5beb44f-9d76-485a-8af4-407b0f1a610e.svs	e6873211ce9904331c6502852807f5e8	926682431	released
1a3de748-dd81-457a-88c3-f3a5a70e6934	TCGA-78-7166-01A-01-BS1.610bd138-dabc-4599-a9af-a5768cb2506c.svs	300fbeafbdc952c18a031b5f47b718cf	98593989	released
d007f8c4-12fd-477c-8302-393d7939e9f3	TCGA-73-4676-11A-01-BS1.4bd6e004-baea-4ed9-8eb2-2a1ad0cedcac.svs	c478b120f90c344d3a2769438adc5cd3	76672689	released
a5c3f8d6-4e97-4414-88f5-94a8d352241e	TCGA-38-4629-01A-01-BS1.54a70eed-841a-4ec2-baca-f0546d78b60c.svs	7e1650cb3e6c240a7313124e9a12e028	159950045	released
ceb05e56-a8c4-4235-8487-de47bb031bb0	TCGA-64-1677-01A-01-TS1.64b2b82e-e4be-4399-bcc6-c32bf9089531.svs	4eff2bc1b0071db80717ffade6975b7a	106502379	released
7a0ca4fc-594a-4fbc-90fc-001a78d99639	TCGA-55-6979-01A-01-BS1.b2351aff-ca88-40b9-9271-136f7b2585d2.svs	56dbb797b62ae9565e902ea98d353595	40945309	released
c74608dd-b660-4407-b543-d33bc27654dd	TCGA-50-5939-01A-01-BS1.947c5ed1-ea28-4100-b3c6-3d7c06b856ff.svs	8b0412b8645c4fa12ffe3476871432f7	233853225	released
15bcf2b1-bf72-4dae-8ea8-a9e992bf86dc	TCGA-64-5775-01Z-00-DX1.9A338C1A-CDB6-41AF-B6D5-EDE608B5E3E1.svs	596beece8ca21018fde87182f45816c5	656496815	released
80551bf7-97e5-4832-8aa3-2b636ed370ff	TCGA-50-5935-01A-01-TS1.3c8f9844-b248-48ef-99d8-2f4974288c0a.svs	7f3abb30ae2825127beddfb8fb9dd8df	123720639	released
51bdb04a-b268-48d9-9406-956b5553e77d	TCGA-78-8660-01Z-00-DX1.11E923ED-C01B-439D-8796-08C9E3DC2D93.svs	fd3098ef462f5ad3d5dc250175dad267	2386586521	released
c4a3f422-2966-4cb8-a8a5-cc75153f6fd3	TCGA-55-8089-01A-01-TS1.8881da70-0436-4123-b8f1-f55c5d467a69.svs	49328fdb15252fdfd142cfb85b7c0d22	85524759	released
a65943a6-ebc7-437f-8ad2-33986201f908	TCGA-62-A46P-01A-01-TS1.B5E86BA2-E157-44FA-B066-321DDF5092D5.svs	cd6bc0651401f053b39a7139136b0dd8	285218909	released
59c13a76-e01d-4613-99dd-fa80c2ccd60c	TCGA-91-6829-01A-01-BS1.8ec1007b-5ff9-4bc0-b538-f9130c754614.svs	0f1c1b89d04d3412b775864c4b488857	102178981	released
08135962-587e-4efa-a566-3be44385ebb3	TCGA-MP-A4SW-01Z-00-DX1.A6651B25-A35A-4BDE-9EBF-D264A02003C8.svs	7e40160918d6e622ba225715e35c4fb3	829833729	released
e4b8e74a-8d6d-4eaf-ab71-5a8a4ff3c620	TCGA-78-8662-01A-01-TS1.50bbe95d-2c68-4b7e-97fa-1a76b9b10689.svs	1ea8dfa81c421dadb5391ef140176940	84560073	released
8408c9f5-4615-442f-8d6e-cd3b6713082b	TCGA-75-6212-01A-01-BS1.c95f81b0-7f24-43e2-afe3-3d70177ed0cf.svs	9c2f6861375baec36a475154bc45d2c7	251989173	released
b52b6590-09bd-48e1-9533-7258a6195533	TCGA-73-A9RS-01Z-00-DX1.EDCEFE41-61E2-48C9-B8D5-28B55372E0CA.svs	d38ad7f9eebd36139f89eea51af8c2b3	1691449219	released
79f0e52e-82dd-493b-9585-d39422fd8e67	TCGA-75-6214-01Z-00-DX1.00424C13-65B8-4872-81EB-EE207AB3F78C.svs	164724cb35eaaf4097a7539d68929f93	120477454	released
20206b49-a3d1-4e4a-aa3b-0638d1ac5ab5	TCGA-44-6777-01A-01-BS1.ff28d451-68e3-4c4e-82b3-12bb9ee8f20e.svs	dd83d6fbff5050d4df3771f7bb76449d	264422777	released
b53d1202-bb6f-4494-9e01-4684e09486ba	TCGA-86-8055-01Z-00-DX1.546dc42e-3742-4da5-8f9b-80732180ce76.svs	70593b1bd1925ad31d2e687b57cd45d1	722578359	released
6ab0b463-bd0b-4020-8c12-7fd1aedccfd0	TCGA-55-6982-01Z-00-DX1.055aeec1-2fc1-4796-b5df-c159335e0300.svs	80f1df65f37c96643c37508c4d5f66c4	168884129	released
ec1f19aa-30c0-4f26-92cf-b424ce31867e	TCGA-86-A4D0-01A-01-TSA.B2F7A5B9-19C5-4FF5-A644-E089AB3889DD.svs	4ee3a5a861d188de858458f65cba4678	194243291	released
5c02bdee-549b-48ff-8127-dd3529cf8d88	TCGA-78-7145-01A-01-TS1.8930eca1-bc4e-4ed6-a6fd-335eb553e057.svs	a996002a374f59a2ea17a05df4e51ae7	69338973	released
9c669488-6e90-4dce-beb9-4f0b61e0f848	TCGA-86-7714-01A-01-TS1.459126fb-76b3-41d3-8a00-c575e3342045.svs	493c34a13cdf4da095615d758874d0c2	703572193	released
d9579913-224c-422c-a0f6-f1e0c98f31e7	TCGA-49-4507-11A-01-BS1.4e88a2c1-7418-4a03-af23-7e82908a5d5a.svs	07877a03c591c0c685370dc23767a964	54792435	released
f608c743-53ba-4223-a800-8e885ba394b4	TCGA-62-A46Y-01A-01-TS1.769D7702-02B6-4F1F-A061-056F2E51BF9C.svs	1b65d254e815d1f810a6ff4de033c2bb	302773941	released
51c8ffc8-26a9-496f-904b-c5f11776e906	TCGA-53-7624-01A-01-BS1.e4df80c6-2d78-47ce-9e40-12e5fbe657cf.svs	bf003104282c93e8120d6dfbbcecf9a1	42802041	released
4768974f-66fc-465e-a8bd-483510faf9d8	TCGA-49-4486-11A-01-TS1.d6e0613f-d25a-4443-be0f-9525403d1d15.svs	d39fbe96ef52083a043fa80a6da9bc99	102519999	released
747e65b4-3a19-4c4c-9d4a-47611ecf8295	TCGA-MP-A4T6-01Z-00-DX1.085C4F5A-DB1B-434A-9D62-E2187D133B0A.svs	000b2f25ae88e890a671b623971fdf77	2192778781	released
3185ffee-a01f-489c-b6d0-e310f4b4c5b2	TCGA-05-4397-01A-01-TS1.e4fe3921-3510-4404-90a7-09e4eb93ab3e.svs	452d6e0b41c2091a8806cbede23fe9e6	58709885	released
5a2cc4b5-cfbf-4033-8b64-8ecffa65b59a	TCGA-MP-A4SV-01A-01-TSA.7992EFFD-ADE1-434B-86E2-918AFE46C7AE.svs	b72f98aef4cab4963194f2db99e1e7ce	375099309	released
14ba1dd5-33c9-4cd9-b1c5-cbffbde8243e	TCGA-75-5122-01A-01-BS1.3d8974bb-ca4f-4125-8ac5-5a0a7031ba11.svs	79d5724fd3ec05d31c7611681ef20c2b	65041887	released
75b89563-a454-4569-b4ed-829eb55b26bc	TCGA-50-5933-11A-01-TS1.275999f6-0103-41a8-a5e3-27958fe28430.svs	bcb8fd0a6c99a96ab21224cc1c0cbb8b	409219321	released
3aa8d33d-767b-4e13-b157-2f7a46e8c1c8	TCGA-MP-A4T8-01A-01-TSA.07230EEB-5976-4395-9AD4-2D02B3D9E91A.svs	0b6c7165d8c913a66ca5de7d97a39e27	200439769	released
bed9aa12-1018-41e7-aed3-96f899c46aa0	TCGA-78-7156-01A-01-TS1.b87a0bce-676c-437a-be81-6cf7854d8385.svs	a97ebf29c654ab54734d68ffdc8091a8	51667013	released
d37a1ac5-2941-422e-82fc-06f2e032fd72	TCGA-50-6594-01Z-00-DX1.43b2005a-4245-4025-ad85-4a957f308a5c.svs	c889f6ff99bad2d72423e419a5970a15	1024683599	released
c257b3e3-01bd-4874-b8b7-f2be7a9c7d00	TCGA-MP-A4TJ-01A-05-TSE.665B2D35-EAD3-46B6-9784-37CFE51412ED.svs	d7640d07d3f30fdcbbc290cea589433c	280792973	released
a2684658-1a5b-4484-971a-b7cd15df2d93	TCGA-49-AAQV-01A-01-TSA.38E46F80-E752-45F2-990D-A1BDD6471DCF.svs	c3a89f6c88e01507a9c597999eb9f40e	446434795	released
ffee8ec1-a211-443a-bfdd-341ba481f0d9	TCGA-99-8033-01A-01-TS1.c9f52107-d2d5-4e7d-b30a-3d1d6cf5a5f6.svs	61814706b3cc7ae8e218b05c3ff98cb1	57949999	released
cb5c33eb-1a4a-49da-967f-1ff380e3b6a3	TCGA-49-AARN-01Z-00-DX1.E13AA041-978E-427D-AFA5-D3180224A03A.svs	341b32abb8062033599076003f999a8f	1708815995	released
4e020921-dec1-4e94-8a78-745944d9d274	TCGA-MP-A4TC-01A-01-TS1.2C09E387-BF15-4ED1-944A-D27EE4972287.svs	9fbc77ae4c62fc396b87e154f3c9f36a	408796423	released
6c272bde-7159-452c-b1b3-52619e5afb00	TCGA-86-7711-11A-01-TS1.5694dfcc-cff9-4a06-99d8-e177606efc7e.svs	47a54af5ff6fcc7fa11c2c0f9fc9409f	420089035	released
d4766e25-267e-4c47-b20d-12264355bd6f	TCGA-50-5045-01Z-00-DX2.0FCA12EA-572E-4A7D-900D-6E200892170E.svs	108f1b0940968a8161d0a74d925839cd	977744872	released
5389e7cf-ca61-4264-b912-9b802c5b1165	TCGA-55-7574-01Z-00-DX1.09639e6a-d85f-4d84-abbc-0f5a6d679683.svs	84bdeca7e115981d408a9d0c25cd3dc8	206295017	released
06cabd4b-c045-413a-8674-36992d62ff2e	TCGA-L9-A50W-01Z-00-DX1.21FAAB58-58EF-4A6A-8F0A-16D9AB9B1056.svs	c54b0d5f6fa04849f7c2cfe794d063c6	1909130765	released
5414e89e-092d-4ebe-b424-1b8f311c9346	TCGA-50-6673-01A-01-TS1.155752fd-058d-4445-a361-0c59a4e9151c.svs	9e0fbd740f276640e788f8fcb71fa4af	159850669	released
25e6bbb7-c6d4-4352-8c89-3ca457372a5d	TCGA-73-4675-01Z-00-DX1.1027587f-8ec4-4b8c-8768-ff7b669683e0.svs	2ed8dfdafea640c6f4093d4faa04a826	897954085	released
ef283676-d0fd-40bc-8087-362b4ada0066	TCGA-49-4487-11A-01-BS1.09557d99-a340-4986-ab41-f6a6d2db0b1b.svs	025f8fbadfcb788b54c9d48a624eb64e	99463393	released
9fde21c2-0389-4f5b-87cd-60f5d95f76d7	TCGA-MP-A4TE-01Z-00-DX1.B4680570-FD2E-47A5-8D50-A508CEB6A62C.svs	2f97c460ba189bc3713ee0d3d1a3466d	1960704869	released
e8999734-1460-4832-aed2-fe72a7b3f56a	TCGA-55-6972-11A-01-TS1.56ffd1ee-a8f0-4f9b-aaab-d625eba5ba90.svs	461cb26956fdb4e6adc6ad288a62cb23	46719389	released
c99cdb97-90b5-407c-9933-ab0eb49a067d	TCGA-64-1681-01A-01-TS1.95ef9027-459a-4796-97a2-773e7cfed3ee.svs	1324d1f19c3a7c0daa0fd3f8058c4bfd	67276099	released
f6e473bf-cf67-4287-89e4-893f13e2ed59	TCGA-73-4659-11A-01-BS1.1615c681-e9d6-4255-9c48-3fad043abe88.svs	7495bd98430496054c0e4f3d47657dc9	358647017	released
eb929b8b-fc95-4bf0-8450-8ba8f66569ab	TCGA-49-AARE-11A-01-TS1.DC9E89C9-86E8-452D-AD64-225A978B84E2.svs	da4c99ccf3b87d6e9813297b0caf6a1a	42963073	released
97f40781-7223-4ceb-b73c-9f231845544f	TCGA-49-4488-01Z-00-DX8.b9fb358a-9618-4956-9544-c2ffe2678095.svs	1cb001415e4cba40880535cd4a39ecd5	821679575	released
995542bf-488f-4f75-8b01-b7f7793a440e	TCGA-86-6562-01A-01-TS1.32c1f4ac-ae87-45c1-a29a-3a1d408727ed.svs	f977c1b7819a6664641e1240482068ae	394400179	released
7d7e6a75-79bd-4a82-a8d6-7185ada9d451	TCGA-62-A46S-01A-01-TS1.86557AB5-8FB3-411D-8CA9-EB015D4B8C48.svs	699dfb619c8392f4e20450bfef481e04	225620723	released
f5dfdc99-18be-4e4f-b1bd-2791a51f5f9b	TCGA-86-A4JF-01A-01-TSA.E1DCED94-3236-4C39-8DC3-A20A2471DDA5.svs	410842cee39395310e1684aa9f1ea1f0	295731695	released
8d97462a-e57e-43f2-8056-22179240e317	TCGA-50-6593-11A-01-TS1.8b2caa8f-76ac-41e4-be05-498e217ed7b1.svs	be78cdea010da2f9ad70b98d00db6772	191418109	released
53b3aef7-9dd9-456c-a07d-ba7906b0de87	TCGA-78-7542-01A-01-BS1.3abc9047-55d9-4cc0-bd4f-abcfb4b3092f.svs	3a64622122138d10f2053b4b06bba11d	106073865	released
b3f8218b-1a65-4f42-9e0c-581d72df9a4a	TCGA-62-A470-01Z-00-DX1.3983A979-E756-413C-941A-C8B83AD3BBA7.svs	284953f4fa80f1fcdd67b37cf83a5091	1145591698	released
8687eb86-3625-4d43-9e3c-aa81fb667534	TCGA-55-6984-01Z-00-DX1.d53e387a-9618-4486-98f3-a75604f25a7d.svs	1344f6ac6ae9751f99af5e6d539a0058	711502295	released
0601ee68-64e0-4083-8de7-b370657887c1	TCGA-55-6712-01A-01-TS1.8be99f1f-344e-477c-a657-4abccfa3b559.svs	bc2c5b41a9f61e1f7ac025513625fd3c	93952947	released
7d3a1bd9-4326-4879-8770-12abfeebab2b	TCGA-4B-A93V-01Z-00-DX1.C263DC1C-298D-47ED-AAF8-128043828530.svs	2c09cc9edfaab43fd22348f853270d2d	1550876913	released
6d774ca0-2407-4f15-96d9-c365a2aa8ec7	TCGA-MP-A4TI-01Z-00-DX1.08AB4C0B-F953-41B5-A9BB-7452A8E34A54.svs	6253c09717995c786facecaa7fc72dc9	1097013473	released
63357d81-9597-406e-ab4c-257c751a01ff	TCGA-05-4250-01A-01-BS1.7e972936-987c-4e66-b640-b889837337e9.svs	da32f58961caebed1df5f8a45942efa7	163279429	released
37103f2b-1b3a-4ebc-8725-9d7cc117f26e	TCGA-50-5932-11A-01-TS1.f80ad0da-2065-4cc9-a649-e40e9b814257.svs	5dc8279bcee8086708a6f9124aa01b71	326790995	released
b0069e99-ab6a-450a-9e46-7370f5f49ae1	TCGA-05-4434-01A-01-BS1.dcbe2476-4a1b-437c-b599-c0993686f679.svs	740bbb8e4304c40b76f9c0e80acf52bf	170582343	released
8ea88498-b673-4e60-a708-82134b855feb	TCGA-50-5931-01A-01-TS1.ae13ba18-bb6a-4e32-9148-471932f055cf.svs	bb49ef444571b404e8ba525768c84d8e	200966101	released
e83451c7-85c9-420f-9823-0d4042734bec	TCGA-50-6590-11A-01-TS1.fefe9444-70ce-4911-a039-95a747fd8982.svs	3248ca0316a2f146c596419ad7b379ce	332145603	released
43c27fd0-5829-4f9f-99d6-2a91ea689f8d	TCGA-97-8176-01A-01-TS1.0f1b7e3a-6e9f-4d3e-bc6a-c640ff041549.svs	6e397cbefa6d8f2ef8a24dfe7584ff8f	94295963	released
